"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_action_first_symptom,score_confusion,score_numbness,score_nosebleed,score_vision,score_first_contact,score_urgency,score_location,score_symptoms,score_risk,score_advice,total_raw_score,awareness_score
Neurologist,Yes,Other,maybe,yes,yes,yes,41-60,Male,other,"above 8,00,000",emergency_services,no_response,Unknown /No Response,no_response,other,seek_medical_help,4,1,0,0,1,0,1,4,0,0,0,0,0,44,3.79
Neurologist,No,Immediately,yes,maybe,maybe,maybe,41-60,Female,other,"6,00,001 - 8,00,000",hospital,immediately,hospital_or_medical_centre,no_response,Unaware,other,4,0,2,1,0,1,0,3,2,3,0,0,0,65,5.6
Neurologist,Yes,Within a week,yes,yes,yes,yes,41-60,Male,other,"above 8,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,1,0,1,1,0,1,0,0,0,0,0,0,29,2.5
Neurologist,Yes,Immediately,maybe,maybe,maybe,maybe,41-60,Female,speciality,"4,00,001 - 6,00,000",hospital,immediately,other,headache,other,seek_medical_help,4,1,2,0,0,1,0,3,2,0,0,0,0,50,4.31
Neurologist,Maybe,Immediately,yes,yes,yes,yes,26-40,Female,speciality,"4,00,001 - 6,00,000",doctor,after_few_days_(2-3days_or_week),doctor_or_specialist,"paralysis_or_weakness,vision_problems",Unaware,other,4,0,2,1,1,0,1,0,0,0,2,0,0,36,3.1
Neurologist,Yes,Immediately,yes,yes,maybe,maybe,26-40,Female,high school,"6,00,001 - 8,00,000",emergency_services,no_response,emergency_services,speech_or_confusion,"blood_pressure_or_heart_problem, diabetes_or_obesity",other,4,1,2,1,1,1,0,4,0,4,1,1,0,81,6.98
Neurologist,No,Other,maybe,maybe,maybe,maybe,15-25,Female,graduate,"below 2,00,000",unaware,unaware,emergency_services,no_response,Unaware,other,4,0,0,0,0,1,0,0,0,4,0,0,0,34,2.93
Physician,No,Immediately,maybe,yes,maybe,maybe,15-25,Female,undergraduate,"below 2,00,000",doctor,immediately,Unknown /No Response,no_response,Unaware,no_response,0,0,2,0,1,1,0,0,2,0,0,0,0,23,1.98
Physician,Maybe,Immediately,maybe,maybe,yes,maybe,15-25,Female,undergraduate,not_specified,no_response,no_response,Unknown /No Response,"paralysis_or_weakness,headache",Unaware,no_response,0,0,2,0,0,0,0,0,0,0,1,0,0,9,0.78
Physician,No,Immediately,no,no,no,no,15-25,Female,other,"below 2,00,000",doctor,unaware,doctor_or_specialist,no_response,other,other,0,0,2,0,0,2,0,0,0,0,0,0,0,10,0.86
Neurologist,No,Within a week,yes,yes,yes,yes,15-25,Male,speciality,"4,00,001 - 6,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,0,1,1,0,1,0,0,0,0,0,0,24,2.07
Neurologist,Maybe,Immediately,maybe,yes,yes,maybe,26-40,Male,graduate,"above 8,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,2,0,1,0,0,0,0,0,0,0,0,23,1.98
Neurologist,Yes,Within a day,yes,yes,yes,maybe,15-25,Female,undergraduate,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,1,0,1,1,0,0,0,0,0,0,0,0,27,2.33
Neurologist,Yes,Within a week,no,no,no,maybe,15-25,Male,speciality,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,1,0,0,0,2,0,0,0,0,0,0,0,21,1.81
"ENT (Ear, Nose, and Throat specialist)",Maybe,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"below 2,00,000",no_response,no_response,Unknown /No Response,"paralysis_or_weakness,vision_problems",Unaware,no_response,2,0,2,1,1,0,1,0,0,0,2,0,0,30,2.59
Physician,Yes,Immediately,yes,yes,yes,maybe,15-25,Male,graduate,"6,00,001 - 8,00,000",no_response,no_response,Unknown /No Response,speech_or_confusion,Unaware,no_response,0,1,2,1,1,0,0,0,0,0,1,0,0,24,2.07
Physician,Yes,Immediately,yes,yes,maybe,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,"speech_or_confusion,paralysis_or_weakness,vision_problems",Unaware,no_response,0,1,2,1,1,1,0,0,0,0,3,0,0,32,2.76
Neurologist,Maybe,Immediately,maybe,no,yes,yes,15-25,Female,graduate,"4,00,001 - 6,00,000",no_response,after_few_days_(2-3days_or_week),doctor_or_specialist,headache,blood_pressure_or_heart_problem,no_response,4,0,2,0,0,0,1,0,0,0,0,0,0,20,1.72
Neurologist,Maybe,Within a week,yes,yes,maybe,maybe,15-25,Female,graduate,"below 2,00,000",family/friend,immediately,hospital_or_medical_centre,no_response,Unaware,no_response,4,0,0,1,1,1,0,0,2,3,0,0,0,49,4.22
Neurologist,No,Immediately,no,yes,yes,maybe,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,2,0,1,0,0,0,0,0,0,0,0,23,1.98
Neurologist,Yes,Immediately,yes,yes,no,yes,15-25,Female,undergraduate,not_specified,no_response,no_response,Unknown /No Response,"paralysis_or_weakness,dizziness",Unaware,no_response,4,1,2,1,1,2,1,0,0,0,1,0,0,42,3.62
Physician,No,Within a day,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0.34
Neurologist,No,Within a month,no,no,no,no,15-25,Female,speciality,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,other,no_response,4,0,0,0,0,2,0,0,0,0,0,0,0,16,1.38
Physician,No,Within a week,no,no,no,no,15-25,Male,graduate,"4,00,001 - 6,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0.34
Physician,No,I would not consult a specialist,no,no,no,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0.34
Physician,Yes,Within a day,no,no,no,no,15-25,Female,graduate,"above 8,00,000",no_response,no_response,Unknown /No Response,dizziness,Unaware,no_response,0,1,0,0,0,2,0,0,0,0,0,0,0,9,0.78
Physician,Yes,Immediately,no,no,no,no,15-25,Male,graduate,"4,00,001 - 6,00,000",no_response,no_response,Unknown /No Response,paralysis_or_weakness,Unaware,no_response,0,1,2,0,0,2,0,0,0,0,1,0,0,18,1.55
Neurologist,Maybe,Within a month,no,no,no,no,15-25,Male,other,"2,00,001 - 4,00,000",unaware,unaware,Unknown /No Response,no_response,Unaware,unaware,4,0,0,0,0,2,0,0,0,0,0,0,0,16,1.38
Physician,No,Immediately,maybe,maybe,maybe,maybe,26-40,Female,graduate,"below 2,00,000",family/friend,unaware,Unknown /No Response,no_response,other,other,0,0,2,0,0,1,0,0,0,0,0,0,0,8,0.69
Physician,No,Other,no,no,no,no,15-25,Male,other,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0.34
Neurologist,Yes,Within a week,maybe,maybe,no,yes,26-40,Female,graduate,not_specified,no_response,no_response,doctor_or_specialist,paralysis_or_weakness,other,no_response,4,1,0,0,0,2,1,0,0,0,1,0,0,26,2.24
Physician,Yes,Within a day,maybe,maybe,no,maybe,60+,Male,high school,"4,00,001 - 6,00,000",unaware,after_few_days_(2-3days_or_week),doctor_or_specialist,"paralysis_or_weakness,vision_problems",other,no_response,0,1,0,0,0,2,0,0,0,0,2,0,0,15,1.29
Physician,Yes,Immediately,yes,no,no,yes,26-40,Female,graduate,"below 2,00,000",family/friend,no_response,doctor_or_specialist,no_response,other,seek_medical_help,0,1,2,1,0,2,1,0,0,0,0,0,0,22,1.9
Neurologist,Yes,Immediately,maybe,maybe,no,maybe,15-25,Female,graduate,"below 2,00,000",doctor,immediately,doctor_or_specialist,paralysis_or_weakness,other,no_response,4,1,2,0,0,2,0,0,2,0,1,0,0,40,3.45
Physician,No,Within a week,maybe,maybe,maybe,no,26-40,Female,graduate,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.17
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,"speech_or_confusion,paralysis_or_weakness",Unaware,no_response,0,1,2,1,1,0,1,0,0,0,2,0,0,29,2.5
Physician,Yes,Within a week,yes,yes,yes,yes,15-25,Female,graduate,"below 2,00,000",emergency_services,immediately,hospital_or_medical_centre,paralysis_or_weakness,other,seek_medical_help,0,1,0,1,1,0,1,4,2,3,1,0,0,65,5.6
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a month,yes,yes,no,yes,15-25,Male,undergraduate,not_specified,no_response,no_response,hospital_or_medical_centre,"paralysis_or_weakness,vision_problems",other,no_response,2,1,0,1,1,2,1,0,0,3,2,0,0,48,4.14
Physician,Maybe,Within a day,maybe,yes,maybe,maybe,15-25,Male,graduate,not_specified,no_response,no_response,Unknown /No Response,headache,Unaware,no_response,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0.6
"ENT (Ear, Nose, and Throat specialist)",No,Other,maybe,maybe,maybe,maybe,15-25,Male,graduate,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,1,0,0,0,0,0,0,0,8,0.69
Neurologist,No,I would not consult a specialist,no,no,no,no,15-25,Female,undergraduate,"below 2,00,000",no_response,no_response,Unknown /No Response,headache,Unaware,no_response,4,0,0,0,0,2,0,0,0,0,0,0,0,16,1.38
"ENT (Ear, Nose, and Throat specialist)",No,Other,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,2,0,0,0,0,0,0,0,10,0.86
Physician,No,Immediately,yes,yes,no,yes,15-25,Male,high school,"below 2,00,000",no_response,no_response,Unknown /No Response,headache,Unaware,no_response,0,0,2,1,1,2,1,0,0,0,0,0,0,22,1.9
Neurologist,Yes,Immediately,yes,yes,no,yes,15-25,Male,speciality,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,headache,Unaware,no_response,4,1,2,1,1,2,1,0,0,0,0,0,0,39,3.36
Neurologist,Yes,Within a day,yes,yes,maybe,maybe,15-25,Female,other,"4,00,001 - 6,00,000",family/friend,immediately,doctor_or_specialist,speech_or_confusion,diabetes_or_obesity,seek_medical_help,4,1,0,1,1,1,0,0,2,0,1,1,0,45,3.88
Neurologist,No,Within a month,yes,no,no,maybe,26-40,Male,speciality,"2,00,001 - 4,00,000",family/friend,no_response,hospital_or_medical_centre,no_response,Unaware,ensure_rest_and_safety,4,0,0,1,0,2,0,0,0,3,0,0,0,36,3.1
Physician,Maybe,Within a week,maybe,maybe,maybe,maybe,26-40,Female,speciality,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.17
Physician,Maybe,I would not consult a specialist,no,no,no,no,15-25,Female,graduate,"2,00,001 - 4,00,000",doctor,unaware,Unknown /No Response,dizziness,other,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0.34
Physician,Yes,Immediately,no,no,no,no,26-40,Female,graduate,not_specified,doctor,no_response,other,no_response,other,other,0,1,2,0,0,2,0,0,0,0,0,0,0,15,1.29
Physician,No,Within a day,maybe,maybe,maybe,maybe,26-40,Female,graduate,"below 2,00,000",no_response,no_response,doctor_or_specialist,no_response,Unaware,no_response,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.17
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,maybe,yes,maybe,yes,15-25,Female,other,"below 2,00,000",no_response,no_response,Unknown /No Response,paralysis_or_weakness,Unaware,no_response,2,1,2,0,1,1,1,0,0,0,1,0,0,29,2.5
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,graduate,not_specified,no_response,no_response,Unknown /No Response,no_response,other,no_response,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.17
Physician,Yes,Immediately,yes,maybe,yes,yes,26-40,Female,graduate,"below 2,00,000",doctor,no_response,emergency_services,"paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",ensure_rest_and_safety,0,1,2,1,0,0,1,0,0,4,2,2,0,50,4.31
Orthopedic,Yes,Within a day,no,no,no,no,15-25,Female,graduate,"4,00,001 - 6,00,000",doctor,after_few_days_(2-3days_or_week),doctor_or_specialist,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache",other,other,0,1,0,0,0,2,0,0,0,0,3,0,0,18,1.55
Physician,No,Immediately,yes,no,no,no,26-40,Female,graduate,"below 2,00,000",doctor,immediately,Unknown /No Response,no_response,other,other,0,0,2,1,0,2,0,0,2,0,0,0,0,25,2.16
"ENT (Ear, Nose, and Throat specialist)",No,Within a month,maybe,no,no,no,26-40,Male,graduate,"2,00,001 - 4,00,000",unaware,unaware,Unknown /No Response,no_response,other,other,2,0,0,0,0,2,0,0,0,0,0,0,0,10,0.86
Physician,No,Within a month,no,maybe,maybe,maybe,15-25,Female,high school,not_specified,no_response,no_response,Unknown /No Response,speech_or_confusion,Unaware,no_response,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0.43
Physician,No,I would not consult a specialist,no,no,no,no,26-40,Female,other,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0.34
Physician,Yes,Immediately,maybe,maybe,maybe,maybe,15-25,Female,graduate,not_specified,no_response,no_response,Unknown /No Response,"paralysis_or_weakness,dizziness",Unaware,no_response,0,1,2,0,0,1,0,0,0,0,1,0,0,16,1.38
Neurologist,No,Within a week,yes,yes,yes,yes,15-25,Female,graduate,"above 8,00,000",hospital,immediately,other,"vision_problems,headache",other,observe_and_monitor_symptoms,4,0,0,1,1,0,1,3,2,0,1,0,0,52,4.48
Physician,Yes,Within a day,yes,yes,maybe,maybe,26-40,Female,graduate,"6,00,001 - 8,00,000",family/friend,after_few_days_(2-3days_or_week),doctor_or_specialist,"vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",seek_medical_help,0,1,0,1,1,1,0,0,0,0,1,2,0,26,2.24
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",family/friend,immediately,hospital_or_medical_centre,"paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",seek_medical_help,2,1,0,0,0,1,0,0,2,3,2,2,0,50,4.31
Physician,Yes,Immediately,maybe,maybe,maybe,maybe,26-40,Male,graduate,"2,00,001 - 4,00,000",family/friend,immediately,doctor_or_specialist,"vision_problems,dizziness,headache",Unaware,seek_medical_help,0,1,2,0,0,1,0,0,2,0,1,0,0,26,2.24
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,60+,Female,high school,"4,00,001 - 6,00,000",doctor,after_few_days_(2-3days_or_week),Unknown /No Response,"paralysis_or_weakness,vision_problems,headache",Unaware,other,2,1,0,0,0,1,0,0,0,0,2,0,0,19,1.64
Neurologist,Yes,Within a week,maybe,maybe,maybe,maybe,15-25,Male,graduate,"below 2,00,000",doctor,after_few_days_(2-3days_or_week),doctor_or_specialist,vision_problems,diabetes_or_obesity,no_response,4,1,0,0,0,1,0,0,0,0,1,1,0,25,2.16
Neurologist,No,Immediately,no,no,no,yes,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,2,0,0,2,1,0,0,0,0,0,0,24,2.07
Physician,Yes,Within a day,maybe,maybe,maybe,maybe,15-25,Female,graduate,"4,00,001 - 6,00,000",family/friend,after_few_days_(2-3days_or_week),other,paralysis_or_weakness,smoking_or_alcohol_or_drugs,no_response,0,1,0,0,0,1,0,0,0,0,1,1,0,13,1.12
Physician,No,I would not consult a specialist,no,yes,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,1,2,0,0,0,0,0,0,0,9,0.78
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,yes,yes,yes,yes,60+,Male,graduate,"above 8,00,000",doctor,immediately,doctor_or_specialist,no_response,other,seek_medical_help,2,0,2,1,1,0,1,0,2,0,0,0,0,34,2.93
Physician,No,Within a week,no,no,maybe,no,15-25,Male,graduate,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.17
Physician,Yes,Immediately,no,no,no,no,15-25,Female,graduate,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,1,2,0,0,2,0,0,0,0,0,0,0,15,1.29
Physician,No,I would not consult a specialist,no,no,no,no,15-25,Male,graduate,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0.34
Physician,Yes,Within a week,yes,yes,maybe,yes,41-60,Male,graduate,"above 8,00,000",emergency_services,no_response,hospital_or_medical_centre,no_response,other,seek_medical_help,0,1,0,1,1,1,1,4,0,3,0,0,0,54,4.66
Orthopedic,Maybe,Other,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0.34
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,speciality,"2,00,001 - 4,00,000",no_response,immediately,doctor_or_specialist,no_response,Unaware,no_response,4,1,2,1,1,0,1,0,2,0,0,0,0,45,3.88
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,41-60,Male,high school,"above 8,00,000",family/friend,immediately,other,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",call_emergency_services,2,1,0,0,0,1,0,0,2,0,3,2,3,44,3.79
Physician,No,Immediately,yes,no,no,no,15-25,Female,graduate,"4,00,001 - 6,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,2,1,0,2,0,0,0,0,0,0,0,15,1.29
Physician,Yes,Within a day,yes,maybe,maybe,maybe,15-25,Female,high school,"6,00,001 - 8,00,000",family/friend,after_few_days_(2-3days_or_week),emergency_services,"speech_or_confusion,paralysis_or_weakness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender",seek_medical_help,0,1,0,1,0,1,0,0,0,4,2,2,0,44,3.79
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,graduate,"below 2,00,000",family/friend,immediately,hospital_or_medical_centre,paralysis_or_weakness,other,seek_medical_help,4,1,0,1,1,0,1,0,2,3,1,0,0,57,4.91
Yes,Yes,Within a day,yes,no,no,no,15-25,Male,high school,"above 8,00,000",family/friend,immediately,other,"speech_or_confusion,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",seek_medical_help,0,1,0,1,0,2,0,0,2,0,2,2,0,36,3.1
Physician,No,Within a day,maybe,maybe,maybe,no,41-60,Female,graduate,"6,00,001 - 8,00,000",family/friend,immediately,doctor_or_specialist,no_response,Unaware,seek_medical_help,0,0,0,0,0,1,0,0,2,0,0,0,0,12,1.03
Neurologist,Yes,Within a week,maybe,maybe,maybe,maybe,41-60,Male,graduate,"6,00,001 - 8,00,000",family/friend,after_few_days_(2-3days_or_week),doctor_or_specialist,dizziness,diabetes_or_obesity,no_response,4,1,0,0,0,1,0,0,0,0,0,1,0,22,1.9
Neurologist,No,Within a day,no,no,maybe,no,15-25,Male,high school,not_specified,family/friend,after_few_days_(2-3days_or_week),Unknown /No Response,no_response,Unaware,other,4,0,0,0,0,1,0,0,0,0,0,0,0,14,1.21
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,high school,not_specified,doctor,after_checkup _or_medical_tests,hospital_or_medical_centre,"paralysis_or_weakness,dizziness",diabetes_or_obesity,seek_medical_help,0,1,0,1,1,0,1,0,0,3,1,1,0,38,3.28
Physician,No,Within a week,no,no,no,no,26-40,Female,graduate,not_specified,family/friend,unaware,hospital_or_medical_centre,no_response,Unaware,seek_medical_help,0,0,0,0,0,2,0,0,0,3,0,0,0,19,1.64
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,graduate,not_specified,doctor,after_checkup _or_medical_tests,doctor_or_specialist,"speech_or_confusion,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender",seek_medical_help,4,1,0,1,1,0,1,0,0,0,1,2,0,38,3.28
Neurologist,No,Within a day,no,no,no,no,26-40,Female,other,not_specified,family/friend,unaware,Unknown /No Response,no_response,Unaware,unaware,4,0,0,0,0,2,0,0,0,0,0,0,0,16,1.38
Neurologist,Yes,Within a week,yes,yes,yes,yes,15-25,Male,undergraduate,not_specified,hospital,immediately,hospital_or_medical_centre,paralysis_or_weakness,other,seek_medical_help,4,1,0,1,1,0,1,3,2,3,1,0,0,72,6.21
Neurologist,No,Within a week,maybe,maybe,maybe,maybe,41-60,Female,graduate,not_specified,family/friend,after_checkup _or_medical_tests,hospital_or_medical_centre,no_response,Unaware,no_response,4,0,0,0,0,1,0,0,0,3,0,0,0,29,2.5
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a week,yes,maybe,yes,maybe,41-60,Male,graduate,"above 8,00,000",emergency_services,after_few_days_(2-3days_or_week),hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,2,1,0,1,0,0,0,4,0,3,3,1,0,63,5.43
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,undergraduate,not_specified,emergency_services,immediately,emergency_services,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",other,4,1,0,1,1,0,1,4,2,4,3,2,0,94,8.1
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,no,no,maybe,26-40,Male,graduate,"6,00,001 - 8,00,000",family/friend,unaware,hospital_or_medical_centre,no_response,Unaware,unaware,2,0,0,0,0,2,0,0,0,3,0,0,0,25,2.16
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,no,no,maybe,26-40,Male,graduate,"6,00,001 - 8,00,000",doctor,after_few_days_(2-3days_or_week),hospital_or_medical_centre,no_response,Unaware,unaware,2,0,0,0,0,2,0,0,0,3,0,0,0,25,2.16
Orthopedic,No,Within a week,no,no,yes,no,15-25,Male,high school,not_specified,no_response,no_response,hospital_or_medical_centre,no_response,Unaware,no_response,0,0,0,0,0,0,0,0,0,3,0,0,0,15,1.29
Physician,Yes,Within a day,maybe,yes,yes,yes,26-40,Male,other,"above 8,00,000",doctor,after_few_days_(2-3days_or_week),hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",call_emergency_services,0,1,0,0,1,0,1,0,0,3,3,2,3,48,4.14
Neurologist,No,Within a week,no,no,no,no,15-25,Female,high school,"2,00,001 - 4,00,000",no_response,after_few_days_(2-3days_or_week),hospital_or_medical_centre,no_response,Unaware,no_response,4,0,0,0,0,2,0,0,0,3,0,0,0,31,2.67
Physician,No,Within a week,maybe,no,no,maybe,15-25,Female,graduate,not_specified,family/friend,unaware,hospital_or_medical_centre,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,3,0,0,0,19,1.64
Physician,No,Within a week,no,maybe,no,no,26-40,Female,graduate,not_specified,hospital,after_few_days_(2-3days_or_week),hospital_or_medical_centre,no_response,Unaware,no_response,0,0,0,0,0,2,0,3,0,3,0,0,0,34,2.93
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,maybe,maybe,maybe,15-25,Female,high school,not_specified,family/friend,after_few_days_(2-3days_or_week),hospital_or_medical_centre,no_response,Unaware,no_response,2,0,0,0,0,1,0,0,0,3,0,0,0,23,1.98
Neurologist,No,Within a week,no,maybe,maybe,no,15-25,Female,graduate,not_specified,family/friend,after_few_days_(2-3days_or_week),other,no_response,Unaware,no_response,4,0,0,0,0,1,0,0,0,0,0,0,0,14,1.21
Physician,No,Within a week,no,no,no,no,41-60,Female,high school,not_specified,family/friend,no_response,doctor_or_specialist,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0.34
Neurologist,Yes,Immediately,maybe,yes,yes,yes,15-25,Female,high school,not_specified,family/friend,immediately,hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",avoid_food_or_drink_sleep,4,1,2,0,1,0,1,0,2,3,3,2,0,70,6.03
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,high school,not_specified,emergency_services,immediately,emergency_services,"dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",other,4,1,0,1,1,0,1,4,2,4,0,2,0,85,7.33
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,not_specified,no_response,immediately,doctor_or_specialist,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",no_response,2,1,2,1,1,0,1,0,2,0,3,2,0,54,4.66
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Male,graduate,"2,00,001 - 4,00,000",family/friend,after_few_days_(2-3days_or_week),doctor_or_specialist,speech_or_confusion,"diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender",seek_medical_help,4,1,0,1,1,0,1,0,0,0,1,2,0,38,3.28
Physician,No,Within a day,yes,yes,yes,yes,15-25,Female,graduate,not_specified,doctor,after_few_days_(2-3days_or_week),doctor_or_specialist,"speech_or_confusion,paralysis_or_weakness,vision_problems,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender",keep_the_person_calm,0,0,0,1,1,0,1,0,0,0,3,2,0,27,2.33
